"Victim.s.race","Victim.s.gender","Date.of.Incident..month.day.year.","City","State","year"
"White","Male","04/06/2016","Muncie","IN","2016"
"Black","Male","04/06/2016","Eufaula","AL","2016"
"White","Male","04/06/2016","Montague","CA","2016"
"Native American","Male","03/06/2016","Pine Ridge","SD","2016"
"White","Male","03/06/2016","Palmer","AK","2016"
"Native American","Male","03/06/2016","Parker","AZ","2016"
"Black","Male","02/06/2016","Charlotte","NC","2016"
"Black","Male","02/06/2016","Norfolk","VA","2016"
"Black","Male","01/06/2016","Newnan","GA","2016"
"White","Male","01/06/2016","Berea","KY","2016"
"White","Male","01/06/2016","Phoenix","AZ","2016"
"White","Male","31/05/2016","Bend","OR","2016"
"Black","Male","30/05/2016","Tucson","AZ","2016"
"White","Male","30/05/2016","Tualatin","OR","2016"
"Hispanic","Male","29/05/2016","Houston","TX","2016"
"White","Male","29/05/2016","Deland","FL","2016"
"White","Male","29/05/2016","Clinton","NC","2016"
"White","Male","29/05/2016","Greenwood","IN","2016"
"White","Male","29/05/2016","Stoneville","NC","2016"
"White","Male","28/05/2016","Albuquerque","NM","2016"
"Hispanic","Male","28/05/2016","San Antonio","TX","2016"
"Black","Male","28/05/2016","Tulsa","OK","2016"
"Black","Male","28/05/2016","Eastaboga","AL","2016"
"White","Male","27/05/2016","Indianapolis","IN","2016"
"Hispanic","Male","26/05/2016","Solvang","CA","2016"
"Hispanic","Male","26/05/2016","Socorro","NM","2016"
"White","Male","26/05/2016","St. Paul","MN","2016"
"White","Male","26/05/2016","Lansing","IL","2016"
"Unknown race","Male","26/05/2016","San Antonio","TX","2016"
"White","Female","26/05/2016","Sneads","FL","2016"
"Black","Male","26/05/2016","Washington Park","IL","2016"
"White","Male","25/05/2016","Oklahoma City","OK","2016"
"Black","Male","25/05/2016","Miami Gardens","FL","2016"
"White","Male","24/05/2016","Gresham","OR","2016"
"Hispanic","Male","24/05/2016","Albuquerque","NM","2016"
"White","Male","24/05/2016","Peculiar","MO","2016"
"Native American","Male","23/05/2016","Flagstaff","AZ","2016"
"White","Male","22/05/2016","Boulder","CO","2016"
"Hispanic","Male","22/05/2016","Oxford","MA","2016"
"Black","Male","22/05/2016","Jacksonville","FL","2016"
"Black","Male","22/05/2016","Hallandale Beach","FL","2016"
"Native American","Male","21/05/2016","Flagstaff","AZ","2016"
"White","Male","21/05/2016","Chesterfield","SC","2016"
"White","Male","21/05/2016","Oregon City","OR","2016"
"Black","Male","20/05/2016","Omaha","NE","2016"
"Black","Male","19/05/2016","Miami","FL","2016"
"Hispanic","Male","19/05/2016","Citrus Heights","CA","2016"
"White","Male","19/05/2016","Fisty","KY","2016"
"Black","Female","19/05/2016","San Francisco","CA","2016"
"Hispanic","Male","19/05/2016","North Las Vegas","NV","2016"
"Hispanic","Male","18/05/2016","Phoenix","AZ","2016"
"White","Male","18/05/2016","West Sullivan","MO","2016"
"White","Male","18/05/2016","New York","NY","2016"
"White","Male","17/05/2016","Montague","CA","2016"
"Black","Male","16/05/2016","Riverdale","GA","2016"
"White","Male","16/05/2016","Fall River","MA","2016"
"White","Male","15/05/2016","Golconda","IL","2016"
"White","Male","14/05/2016","Jacksonville","FL","2016"
"White","Male","14/05/2016","Stockbridge","GA","2016"
"Native American","Male","14/05/2016","Phoenix","AZ","2016"
"White","Male","14/05/2016","Osteen","FL","2016"
"Hispanic","Male","13/05/2016","Los Angeles","CA","2016"
"White","Male","13/05/2016","Union","NJ","2016"
"Hispanic","Female","13/05/2016","Mascotte","FL","2016"
"Black","Male","11/05/2016","Evans","CO","2016"
"White","Male","11/05/2016","Aurora","CO","2016"
"White","Male","11/05/2016","Byng","OK","2016"
"Asian","Male","11/05/2016","San Diego","CA","2016"
"Black","Male","10/05/2016","Taunton","MA","2016"
"White","Female","10/05/2016","Kennedale","TX","2016"
"White","Male","09/05/2016","Chicago","IL","2016"
"White","Male","09/05/2016","Nacogdoches","TX","2016"
"Black","Male","09/05/2016","St. Paul","MN","2016"
"Unknown race","Male","09/05/2016","Fort McCoy","FL","2016"
"White","Male","09/05/2016","Biloxi","MS","2016"
"Black","Male","09/05/2016","El Paso","TX","2016"
"Black","Male","08/05/2016","Long Beach","CA","2016"
"White","Male","08/05/2016","Cromwell","OK","2016"
"White","Male","07/05/2016","Lake Stevens","WA","2016"
"Unknown race","Male","07/05/2016","Presque Isle","ME","2016"
"Black","Male","07/05/2016","Saint Petersburg","FL","2016"
"Black","Male","06/05/2016","Weirton","WV","2016"
"Black","Female","05/05/2016","Orlando","FL","2016"
"Black","Male","05/05/2016","Milwaukee","WI","2016"
"White","Male","05/05/2016","Gretna","LA","2016"
"Unknown race","Male","04/05/2016","Temecula","CA","2016"
"White","Male","04/05/2016","Burien","WA","2016"
"White","Male","04/05/2016","Buffalo","MO","2016"
"White","Male","04/05/2016","Philadelphia","PA","2016"
"White","Male","03/05/2016","Visalia","CA","2016"
"Black","Male","02/05/2016","Taylors","SC","2016"
"White","Male","01/05/2016","Alamo","TN","2016"
"Black","Male","01/05/2016","Orlando","FL","2016"
"Black","Male","01/05/2016","Anderson","SC","2016"
"Hispanic","Male","30/04/2016","Los Angeles","CA","2016"
"White","Male","30/04/2016","Spanish Fork","UT","2016"
"White","Male","30/04/2016","Wasau","WI","2016"
"White","Male","30/04/2016","San Tan Valley","AZ","2016"
"White","Male","29/04/2016","Jackson","MO","2016"
"Hispanic","Male","28/04/2016","Miami","FL","2016"
"White","Male","28/04/2016","Spokane","WA","2016"
"White","Male","28/04/2016","Boise","ID","2016"
"Black","Male","28/04/2016","Houston","TX","2016"
"White","Male","27/04/2016","Westminster","CO","2016"
"Asian","Male","27/04/2016","Atlanta","GA","2016"
"White","Male","27/04/2016","Milcreek","UT","2016"
"White","Female","26/04/2016","Albuquerque","NM","2016"
"Black","Male","26/04/2016","Chesapeake","VA","2016"
"White","Male","26/04/2016","Lakewood","CO","2016"
"White","Male","26/04/2016","Kingsbury","TX","2016"
"White","Female","25/04/2016","East Flat Rock","NC","2016"
"White","Male","24/04/2016","Gulfport","MS","2016"
"White","Male","23/04/2016","Antigo","WI","2016"
"White","Male","23/04/2016","Chandler","AZ","2016"
"Black","Male","23/04/2016","Topeka","KS","2016"
"White","Male","23/04/2016","Norfolk","VA","2016"
"Black","Male","23/04/2016","Fort Pierce","FL","2016"
"Black","Male","23/04/2016","Fayetteville","AR","2016"
"White","Male","22/04/2016","Austin","TX","2016"
"White","Male","22/04/2016","Berne","NY","2016"
"Hispanic","Male","21/04/2016","Everett","MA","2016"
"White","Female","21/04/2016","Silver City","NM","2016"
"White","Male","20/04/2016","Homestead","FL","2016"
"White","Male","20/04/2016","Perryville","AR","2016"
"Black","Male","19/04/2016","St. Louis","MO","2016"
"White","Male","19/04/2016","Blountsville","AL","2016"
"Pacific Islander","Male","19/04/2016","Charlotte","NC","2016"
"Black","Male","18/04/2016","Mableton","GA","2016"
"Black","Male","18/04/2016","Greenbelt","MD","2016"
"Black","Male","17/04/2016","Vineland","NJ","2016"
"Black","Male","17/04/2016","New York","NY","2016"
"Black","Female","17/04/2016","Dayton","OH","2016"
"White","Male","17/04/2016","El Paso","TX","2016"
"Black","Male","17/04/2016","Troy","NY","2016"
"White","Male","16/04/2016","Antioch","IL","2016"
"Hispanic","Male","15/04/2016","Lake Elsinore","CA","2016"
"Black","Male","15/04/2016","Baltimore","MD","2016"
"White","Male","15/04/2016","Cache","OK","2016"
"White","Male","15/04/2016","Muncie","IN","2016"
"White","Male","14/04/2016","McPherson","KS","2016"
"White","Male","13/04/2016","Sparta","TN","2016"
"White","Male","13/04/2016","Llano","TX","2016"
"Black","Male","13/04/2016","Stockton","CA","2016"
"Hispanic","Male","12/04/2016","Benton","IL","2016"
"White","Male","12/04/2016","Denver","CO","2016"
"White","Male","12/04/2016","Noma","FL","2016"
"Black","Male","11/04/2016","Chicago","IL","2016"
"Hispanic","Male","11/04/2016","Las Vegas","NV","2016"
"Hispanic","Male","10/04/2016","Los Angeles","CA","2016"
"White","Male","10/04/2016","Rotterdam","NY","2016"
"White","Male","10/04/2016","Modesto","CA","2016"
"Hispanic","Male","10/04/2016","Memphis","TN","2016"
"Black","Male","09/04/2016","Philadelphia","PA","2016"
"Black","Male","09/04/2016","New Brunswick","NJ","2016"
"White","Female","08/04/2016","Lake Hallie","WI","2016"
"Black","Male","08/04/2016","Sacramento","CA","2016"
"Black","Male","08/04/2016","Kentwood","MI","2016"
"Hispanic","Male","07/04/2016","San Francisco","CA","2016"
"White","Male","07/04/2016","Omaha","NE","2016"
"Hispanic","Male","06/04/2016","Los Angeles","CA","2016"
"Black","Female","06/04/2016","Gallatin","TN","2016"
"White","Male","06/04/2016","Oak Hill","OH","2016"
"White","Male","06/04/2016","Bradenton","FL","2016"
"White","Male","05/04/2016","West Springfield","MA","2016"
"Black","Male","05/04/2016","Indianapolis","IN","2016"
"Hispanic","Male","04/04/2016","Minneapolis","MN","2016"
"White","Male","03/04/2016","Austin","TX","2016"
"White","Male","03/04/2016","Eau Claire","WI","2016"
"White","Female","03/04/2016","Notasulga","AL","2016"
"White","Male","03/04/2016","Raceland","LA","2016"
"Black","Male","02/04/2016","Indianapolis","IN","2016"
"Hispanic","Male","01/04/2016","Odessa","TX","2016"
"Hispanic","Male","01/04/2016","Lockhart","TX","2016"
"Black","Male","31/03/2016","Baltimore","MD","2016"
"Black","Male","31/03/2016","Las Vegas","NV","2016"
"Black","Male","31/03/2016","Richmond","VA","2016"
"Black","Male","31/03/2016","Baltimore","MD","2016"
"Hispanic","Male","30/03/2016","Glendale","AZ","2016"
"White","Male","30/03/2016","East Los Angeles","CA","2016"
"White","Male","30/03/2016","Jackson","GA","2016"
"White","Female","29/03/2016","Aitkin","MN","2016"
"White","Male","29/03/2016","Piedmont","SC","2016"
"White","Male","29/03/2016","Clearlake","CA","2016"
"Black","Male","27/03/2016","Kinston","NC","2016"
"White","Male","27/03/2016","Roswell","NM","2016"
"White","Male","27/03/2016","Splendora","TX","2016"
"White","Male","27/03/2016","Lee's Summit","MO","2016"
"Native American","Female","27/03/2016","Winslow","AZ","2016"
"White","Male","26/03/2016","Grundy","VA","2016"
"Hispanic","Male","26/03/2016","Lowell","MA","2016"
"White","Male","26/03/2016","Tampa","FL","2016"
"White","Male","26/03/2016","Myrtle Beach","SC","2016"
"Hispanic","Male","24/03/2016","Albuquerque","NM","2016"
"Black","Male","24/03/2016","Blue Springs","MO","2016"
"White","Male","24/03/2016","Redlands","CA","2016"
"White","Male","24/03/2016","Braintree","MA","2016"
"Hispanic","Male","24/03/2016","Pueblo","CO","2016"
"Black","Male","24/03/2016","Pawtucket","RI","2016"
"White","Male","24/03/2016","Okaloosa Island","FL","2016"
"Black","Male","23/03/2016","Memphis","TN","2016"
"Hispanic","Male","23/03/2016","Fresno","CA","2016"
"White","Male","23/03/2016","Thornton","CO","2016"
"Hispanic","Male","22/03/2016","Palmetto Bay","FL","2016"
"White","Male","22/03/2016","Fredericksburg","VA","2016"
"White","Male","21/03/2016","Greensburg","PA","2016"
"White","Male","21/03/2016","Burlington","VT","2016"
"White","Male","21/03/2016","Stamford","CT","2016"
"White","Male","20/03/2016","Fort Littleton","PA","2016"
"White","Male","20/03/2016","Hopewell","VA","2016"
"Hispanic","Male","20/03/2016","Fort Wayne","IN","2016"
"Black","Male","20/03/2016","Gainesville","FL","2016"
"Black","Male","19/03/2016","Park Forest","IL","2016"
"White","Male","19/03/2016","White Plains","KY","2016"
"Black","Female","19/03/2016","Norfolk","VA","2016"
"Black","Male","19/03/2016","Port Richey","FL","2016"
"White","Male","19/03/2016","Covington","LA","2016"
"Unknown race","Male","18/03/2016","Byron","CA","2016"
"White","Male","18/03/2016","Idaho Falls","ID","2016"
"Black","Male","17/03/2016","Houston","TX","2016"
"Black","Male","17/03/2016","Houston","TX","2016"
"White","Male","17/03/2016","Midland","PA","2016"
"Asian","Male","17/03/2016","Burnsville","MN","2016"
"Asian","Male","17/03/2016","Tampa","FL","2016"
"Hispanic","Male","16/03/2016","San Antonio","TX","2016"
"White","Male","16/03/2016","Lilesville","NC","2016"
"Hispanic","Male","16/03/2016","Los Angeles","CA","2016"
"Hispanic","Male","16/03/2016","Apple Valley","CA","2016"
"White","Male","15/03/2016","Russellville","KY","2016"
"White","Male","15/03/2016","Evansville","IN","2016"
"White","Male","15/03/2016","Fort Worth","TX","2016"
"Black","Male","14/03/2016","Chicago","IL","2016"
"Black","Male","13/03/2016","Chester","PA","2016"
"White","Male","13/03/2016","Piedmont","AL","2016"
"Black","Male","13/03/2016","Landover","MD","2016"
"White","Female","13/03/2016","Vancouver","WA","2016"
"Hispanic","Male","13/03/2016","Addison","TX","2016"
"White","Male","13/03/2016","Lenoir City","TN","2016"
"Unknown race","Male","13/03/2016","Bowling Green","KY","2016"
"White","Male","13/03/2016","Glendale","CA","2016"
"Black","Male","12/03/2016","Houston","TX","2016"
"White","Male","12/03/2016","Greensboro","NC","2016"
"White","Male","12/03/2016","Birch Run","MI","2016"
"Black","Male","12/03/2016","Houston","TX","2016"
"Hispanic","Male","11/03/2016","Newark","CA","2016"
"Black","Male","11/03/2016","Norfolk","VA","2016"
"White","Male","11/03/2016","Clinton","IL","2016"
"White","Male","11/03/2016","Rosalia","KS","2016"
"Hispanic","Male","10/03/2016","Long Beach","CA","2016"
"White","Male","10/03/2016","Odessa","TX","2016"
"Black","Male","10/03/2016","Reno","NV","2016"
"White","Male","10/03/2016","Biloxi","MS","2016"
"Hispanic","Male","10/03/2016","Colorado City","CO","2016"
"White","Male","08/03/2016","Tampa","FL","2016"
"White","Male","07/03/2016","Joliet","MT","2016"
"White","Male","07/03/2016","San Jose","CA","2016"
"White","Male","07/03/2016","Rochester","NY","2016"
"Hispanic","Male","07/03/2016","Stockton","CA","2016"
"White","Male","07/03/2016","Topeka","KS","2016"
"Hispanic","Male","07/03/2016","Carlsbad","NM","2016"
"Hispanic","Male","06/03/2016","South Gate","CA","2016"
"White","Male","06/03/2016","Azle","TX","2016"
"White","Male","06/03/2016","Bismarck","ND","2016"
"White","Male","05/03/2016","Beaumont","TX","2016"
"White","Male","05/03/2016","Buffalo","NY","2016"
"White","Male","04/03/2016","East Bernstadt","KY","2016"
"White","Male","04/03/2016","Mount Ida","AR","2016"
"Hispanic","Male","03/03/2016","Gilbert","AZ","2016"
"White","Male","03/03/2016","Selma","NC","2016"
"White","Male","02/03/2016","Johnstown","PA","2016"
"White","Male","02/03/2016","Bel Air","MD","2016"
"Hispanic","Male","01/03/2016","Euless","TX","2016"
"White","Male","01/03/2016","Gautier","MS","2016"
"Hispanic","Male","01/03/2016","Palm Bay","FL","2016"
"Black","Male","29/02/2016","Raleigh","NC","2016"
"White","Male","28/02/2016","Ashville","AL","2016"
"White","Male","28/02/2016","Rapid City","SD","2016"
"Hispanic","Male","27/02/2016","Floresville","TX","2016"
"Black","Male","26/02/2016","Cave Spring","VA","2016"
"White","Male","26/02/2016","Rapid City","SD","2016"
"White","Male","25/02/2016","Silver Springs","NV","2016"
"White","Male","25/02/2016","Evans","CO","2016"
"Black","Male","25/02/2016","Hesston","KS","2016"
"White","Male","25/02/2016","Bellevue","NE","2016"
"Black","Male","25/02/2016","Montgomery","AL","2016"
"White","Male","24/02/2016","Blue Springs","MO","2016"
"White","Male","24/02/2016","Bailey","CO","2016"
"Black","Male","24/02/2016","East Troy","WI","2016"
"Hispanic","Male","24/02/2016","Norwalk","CA","2016"
"Hispanic","Male","24/02/2016","Phoenix","AZ","2016"
"White","Male","23/02/2016","Glendale","AZ","2016"
"Hispanic","Male","23/02/2016","Ripon","CA","2016"
"Hispanic","Male","23/02/2016","Houston","TX","2016"
"Black","Male","23/02/2016","Baton Rouge","LA","2016"
"Hispanic","Male","22/02/2016","Denver","CO","2016"
"White","Male","22/02/2016","Bakersfield","CA","2016"
"White","Male","22/02/2016","Fairborn","OH","2016"
"Black","Male","22/02/2016","West Haven","CT","2016"
"White","Male","22/02/2016","Mission","TX","2016"
"Black","Female","21/02/2016","Inglewood","CA","2016"
"Native American","Female","21/02/2016","Phoenix","AZ","2016"
"Native American","Female","21/02/2016","Houston","AK","2016"
"Black","Male","21/02/2016","Inglewood","CA","2016"
"Black","Male","21/02/2016","Seattle","WA","2016"
"Hispanic","Male","20/02/2016","Albuquerque","NM","2016"
"Hispanic","Male","20/02/2016","Anaheim","CA","2016"
"Black","Male","20/02/2016","Lakewood","WA","2016"
"White","Male","20/02/2016","Iuka","MS","2016"
"White","Male","19/02/2016","Elizabethton","TN","2016"
"White","Male","19/02/2016","Ogden","UT","2016"
"Hispanic","Male","18/02/2016","Reno","TX","2016"
"White","Male","18/02/2016","Commerce","GA","2016"
"Hispanic","Male","18/02/2016","Santa Ana","CA","2016"
"Hispanic","Male","18/02/2016","Santa Ana","CA","2016"
"Black","Male","17/02/2016","Cincinnati","OH","2016"
"White","Male","16/02/2016","Mena","AR","2016"
"White","Male","16/02/2016","Fairfield","CT","2016"
"White","Male","16/02/2016","Republic","MO","2016"
"Hispanic","Male","15/02/2016","Jal","NM","2016"
"Hispanic","Male","15/02/2016","Donna","TX","2016"
"White","Male","15/02/2016","Yorba Linda","CA","2016"
"White","Male","14/02/2016","Los Angeles","CA","2016"
"Hispanic","Male","14/02/2016","East Los Angeles","CA","2016"
"White","Male","14/02/2016","Bradenton","FL","2016"
"Black","Male","13/02/2016","Baton Rouge","LA","2016"
"Black","Male","13/02/2016","Urbandale","IA","2016"
"Black","Male","13/02/2016","Arvonia","VA","2016"
"Black","Male","13/02/2016","Beckville","TX","2016"
"Black","Male","12/02/2016","Riverdale","GA","2016"
"Black","Male","12/02/2016","Boston","MA","2016"
"Black","Female","12/02/2016","Syracuse","NY","2016"
"White","Male","12/02/2016","Fort Worth","TX","2016"
"Black","Male","12/02/2016","College Park","GA","2016"
"Black","Male","11/02/2016","Columbus","OH","2016"
"White","Male","11/02/2016","Maiden","NC","2016"
"White","Male","11/02/2016","Lancaster","CA","2016"
"Native American","Male","10/02/2016","Barrow","AK","2016"
"White","Male","10/02/2016","Louisville","KY","2016"
"White","Male","10/02/2016","Roseville","MN","2016"
"Unknown race","Male","10/02/2016","Kemp","TX","2016"
"White","Male","10/02/2016","Abingdon","MD","2016"
"Pacific Islander","Male","09/02/2016","Hilo","HI","2016"
"White","Male","09/02/2016","Latham","NY","2016"
"Hispanic","Male","09/02/2016","Anaheim","CA","2016"
"White","Female","09/02/2016","Latham","NY","2016"
"Black","Male","08/02/2016","Chester","PA","2016"
"Black","Male","08/02/2016","Austin","TX","2016"
"Black","Male","08/02/2016","New Orleans","LA","2016"
"Black","Male","07/02/2016","Columbus","OH","2016"
"Hispanic","Male","07/02/2016","Toms River","NJ","2016"
"White","Male","07/02/2016","Austin","AR","2016"
"Hispanic","Male","06/02/2016","Los Angeles","CA","2016"
"White","Male","06/02/2016","Kenton","OH","2016"
"White","Male","05/02/2016","Milton","FL","2016"
"White","Male","05/02/2016","Harmony","NC","2016"
"White","Male","05/02/2016","Seaside","OR","2016"
"White","Female","05/02/2016","Addis","LA","2016"
"Black","Male","05/02/2016","Antioch","CA","2016"
"Unknown race","Male","05/02/2016","Hilo","HI","2016"
"White","Transgender","04/02/2016","Mesa","AZ","2016"
"Hispanic","Male","04/02/2016","El Paso","TX","2016"
"White","Male","04/02/2016","Kansas City","MO","2016"
"Black","Male","04/02/2016","San Antonio","TX","2016"
"White","Male","04/02/2016","Perry","OH","2016"
"Hispanic","Male","03/02/2016","Ocala","FL","2016"
"White","Male","03/02/2016","Okmulgee","OK","2016"
"Native American","Male","03/02/2016","Rosebud","SD","2016"
"White","Male","02/02/2016","Cordova","CA","2016"
"Native American","Male","02/02/2016","Carbondale","PA","2016"
"Hispanic","Male","01/02/2016","Albuquerque","NM","2016"
"Black","Male","01/02/2016","Washington","DC","2016"
"Black","Male","31/01/2016","Pittsburgh","PA","2016"
"White","Male","31/01/2016","Bakersfield","CA","2016"
"Hispanic","Male","31/01/2016","Immokalee","FL","2016"
"Unknown race","Male","31/01/2016","Newark","CA","2016"
"White","Male","31/01/2016","Fort Worth","TX","2016"
"Black","Male","30/01/2016","Chicago","IL","2016"
"White","Male","30/01/2016","Sugar Creek","MO","2016"
"Hispanic","Male","30/01/2016","Rossville","GA","2016"
"Hispanic","Male","30/01/2016","Fort Collins","CO","2016"
"Black","Male","29/01/2016","Irving","TX","2016"
"Black","Male","29/01/2016","Lynn","MA","2016"
"White","Female","29/01/2016","Phenix","AL","2016"
"Black","Male","28/01/2016","Oak Grove","OR","2016"
"White","Male","28/01/2016","Omaha","NE","2016"
"Native American","Female","28/01/2016","Tacoma","WA","2016"
"Hispanic","Male","27/01/2016","Marietta","GA","2016"
"White","Male","27/01/2016","Latta","SC","2016"
"White","Male","27/01/2016","Alvarado","TX","2016"
"Hispanic","Male","27/01/2016","Santa Fe","NM","2016"
"Black","Male","27/01/2016","Memphis","TN","2016"
"White","Male","27/01/2016","Mountain Pine","AR","2016"
"Asian","Male","27/01/2016","Lenoir City","TN","2016"
"Black","Female","27/01/2016","Dearborn","MI","2016"
"White","Male","26/01/2016","Seneca","OR","2016"
"Hispanic","Female","26/01/2016","Brownsville","TX","2016"
"Hispanic","Male","25/01/2016","Reno","NV","2016"
"White","Male","25/01/2016","Hesperia","CA","2016"
"White","Male","23/01/2016","Clanton","AL","2016"
"White","Male","22/01/2016","Augusta","GA","2016"
"Black","Male","21/01/2016","Eufaula","OK","2016"
"White","Male","20/01/2016","Meridianville","AL","2016"
"White","Male","20/01/2016","Harper","TX","2016"
"Black","Male","20/01/2016","Port Barre","LA","2016"
"White","Male","19/01/2016","Valdosta","GA","2016"
"White","Male","19/01/2016","Dallas","TX","2016"
"White","Male","19/01/2016","Statesville","NC","2016"
"Hispanic","Male","19/01/2016","Stockton","CA","2016"
"White","Male","18/01/2016","Medford","OR","2016"
"White","Male","18/01/2016","Tucson","AZ","2016"
"White","Male","18/01/2016","Phoenix","AZ","2016"
"White","Male","18/01/2016","Orlando","FL","2016"
"White","Male","18/01/2016","Union City","CA","2016"
"Hispanic","Male","17/01/2016","Los Angeles","CA","2016"
"White","Male","17/01/2016","Holladay","UT","2016"
"White","Male","17/01/2016","Rainbow City","AL","2016"
"White","Male","17/01/2016","Jacksonville","FL","2016"
"Black","Male","17/01/2016","St. Louis","MO","2016"
"White","Male","17/01/2016","Mesa","AZ","2016"
"Black","Male","16/01/2016","Belle Glade","FL","2016"
"White","Male","16/01/2016","San Antonio","TX","2016"
"White","Female","16/01/2016","El Cajon","CA","2016"
"Hispanic","Male","16/01/2016","Los Angeles","CA","2016"
"White","Male","16/01/2016","Beaverton","OR","2016"
"White","Male","16/01/2016","Petroleum","WV","2016"
"Black","Male","15/01/2016","Southfield","MI","2016"
"White","Male","15/01/2016","Elkins","WV","2016"
"Hispanic","Male","14/01/2016","Santa Clarita","CA","2016"
"White","Male","14/01/2016","Hurst","IL","2016"
"White","Male","13/01/2016","Sevierville","TN","2016"
"White","Male","13/01/2016","Cle Elum","WA","2016"
"Native American","Male","12/01/2016","Anchorage","AK","2016"
"White","Male","12/01/2016","Norfolk","VA","2016"
"White","Male","11/01/2016","Denver","CO","2016"
"White","Female","11/01/2016","Duncannon","PA","2016"
"White","Male","11/01/2016","Cincinnati","OH","2016"
"White","Male","11/01/2016","San Fernando","CA","2016"
"White","Male","10/01/2016","Kelso","WA","2016"
"White","Female","10/01/2016","Rising Sun","MD","2016"
"White","Male","08/01/2016","Lake Geneva","WI","2016"
"White","Male","08/01/2016","Acworth","GA","2016"
"Hispanic","Male","06/01/2016","Carrizozo","NM","2016"
"White","Male","06/01/2016","Owensboro","KY","2016"
"White","Male","06/01/2016","Zion","IL","2016"
"Hispanic","Male","05/01/2016","Ceres","CA","2016"
"Black","Male","05/01/2016","Charlotte","NC","2016"
"White","Male","05/01/2016","Johnson City","TN","2016"
"White","Male","05/01/2016","Redding","CA","2016"
"White","Male","05/01/2016","Upper Darby","PA","2016"
"White","Male","05/01/2016","Tumwater","WA","2016"
"Black","Male","04/01/2016","Oklahoma City","OK","2016"
"Black","Male","04/01/2016","Ragley","LA","2016"
"Black","Male","03/01/2016","Charlotte","NC","2016"
"White","Male","02/01/2016","Livingston","MT","2016"
"White","Male","02/01/2016","Sioux Falls","SD","2016"
"White","Male","02/01/2016","Sweetwater","TX","2016"
"White","Male","01/01/2016","San Diego","CA","2016"
"Black","Male","31/12/2015","Las Vegas","NV","2015"
"Hispanic","Male","30/12/2015","Fresno","CA","2015"
"Unknown race","Male","30/12/2015","Rawlins","WY","2015"
"Pacific Islander","Female","29/12/2015","Santa Nella Village","CA","2015"
"White","Male","29/12/2015","Jacksonville","FL","2015"
"Asian","Male","29/12/2015","Rosemead","CA","2015"
"White","Male","28/12/2015","Suffolk","VA","2015"
"White","Male","27/12/2015","Tempe","AZ","2015"
"White","Male","27/12/2015","Lucedale","MS","2015"
"White","Male","27/12/2015","Franklin","LA","2015"
"Black","Male","26/12/2015","Chicago","IL","2015"
"Hispanic","Male","26/12/2015","Homedale","ID","2015"
"Black","Female","26/12/2015","Chicago","IL","2015"
"White","Male","26/12/2015","Phoenix","AZ","2015"
"White","Male","25/12/2015","Palo Alto","CA","2015"
"Black","Male","24/12/2015","Charlotte","NC","2015"
"Hispanic","Male","24/12/2015","Porterville","CA","2015"
"Black","Male","24/12/2015","Lansing","MI","2015"
"Unknown race","Male","24/12/2015","Pride","LA","2015"
"White","Male","24/12/2015","Winnsboro","LA","2015"
"Black","Male","23/12/2015","Dearborn","MI","2015"
"Hispanic","Male","22/12/2015","Albuquerque","NM","2015"
"White","Male","22/12/2015","Burlington","VT","2015"
"White","Male","22/12/2015","Ludlow","KY","2015"
"White","Male","22/12/2015","Brooksville","FL","2015"
"White","Male","21/12/2015","Canaan Township","PA","2015"
"Black","Male","21/12/2015","Denver","CO","2015"
"White","Male","21/12/2015","Smartsville","CA","2015"
"Hispanic","Male","21/12/2015","Hemet","CA","2015"
"White","Male","21/12/2015","Deltona","FL","2015"
"Black","Male","21/12/2015","Douglasville","GA","2015"
"Black","Male","21/12/2015","St Martinville","LA","2015"
"Hispanic","Male","21/12/2015","Laredo","TX","2015"
"Hispanic","Male","20/12/2015","Amarillo","TX","2015"
"Black","Male","20/12/2015","Harrington","DE","2015"
"Black","Male","20/12/2015","Palmdale","CA","2015"
"White","Male","20/12/2015","Danvers","NH","2015"
"Black","Male","19/12/2015","Concord","VA","2015"
"Hispanic","Male","19/12/2015","Torrance","CA","2015"
"White","Female","18/12/2015","Northwood","OH","2015"
"White","Male","18/12/2015","Linthicum Heights","MD","2015"
"Hispanic","Male","18/12/2015","Taos","NM","2015"
"White","Male","18/12/2015","Knoxville","TN","2015"
"White","Male","17/12/2015","Modesto","CA","2015"
"White","Male","17/12/2015","Kent","OH","2015"
"White","Male","16/12/2015","Camarillo","CA","2015"
"Asian","Male","15/12/2015","Seattle","WA","2015"
"Black","Male","15/12/2015","Dallas","NC","2015"
"White","Male","14/12/2015","Mt Hope","WV","2015"
"Black","Male","14/12/2015","New Orleans","LA","2015"
"Asian","Male","14/12/2015","Long Beach","CA","2015"
"Hispanic","Male","14/12/2015","Las Vegas","NV","2015"
"White","Female","14/12/2015","Las Vegas","NV","2015"
"White","Male","14/12/2015","Middle River","MD","2015"
"Hispanic","Male","14/12/2015","Gilroy","CA","2015"
"White","Male","14/12/2015","Milan","TN","2015"
"White","Male","13/12/2015","Denton","TX","2015"
"Pacific Islander","Male","13/12/2015","Olympia","WA","2015"
"Hispanic","Male","13/12/2015","Denver","CO","2015"
"White","Female","13/12/2015","Arlington","TX","2015"
"White","Male","12/12/2015","East Stroudsburg","PA","2015"
"Black","Male","12/12/2015","Chattanooga","TN","2015"
"Black","Male","12/12/2015","Indianapolis","IN","2015"
